exam_name,organization,year,tier,total_marks,General/UR,OBC,SC,ST,EWS,text
RRB NTPC,RRB,2022,CBT-1,100,66.02,61.14,62.76,46.95,59.52,"RRB NTPC 2022
CBT-1 Qualifying Marks:
UR: 66.02 | OBC: 61.14 | SC: 62.76 | ST: 46.95 | EWS: 59.52
Total Marks: 100"
RBI Grade B,RBI,2026,Phase-I,200,118.89,100.64,82.76,80.81,112.49,"RBI Grade B 2026 Phase-I Cutoff Marks (Out of 200):
General: 118.89
OBC: 100.64
SC: 82.76
ST: 80.81
EWS: 112.49"
SBI PO,SBI,2024,Mains,225,109.21,100.8,114.28,74.29,106.13,"SBI PO 2024
Mains Qualifying Marks:
UR: 109.21 | OBC: 100.8 | SC: 114.28 | ST: 74.29 | EWS: 106.13
Total Marks: 225"
RRB NTPC,RRB,2020,CBT-2,120,76.58,82.63,63.74,50.99,70.77,"The cutoff for RRB NTPC CBT-2 (2020) has been declared. General category cutoff is 76.58/120, OBC cutoff is 82.63/120, SC cutoff is 63.74/120, ST cutoff is 50.99/120."
RBI Grade B,RBI,2020,Phase-II,300,201.78,175.18,136.08,126.49,196.18,"Category-wise Phase-II cut-off marks for RBI Grade B 2020:
Unreserved: 201.78, Other Backward Classes: 175.18, Scheduled Caste: 136.08, Scheduled Tribe: 126.49. Maximum marks: 300."
SSC CGL,SSC,2024,Tier-II,400,359.69,286.8,251.24,232.86,353.18,"SSC CGL 2024
Tier-II Qualifying Marks:
UR: 359.69 | OBC: 286.8 | SC: 251.24 | ST: 232.86 | EWS: 353.18
Total Marks: 400"
SBI PO,SBI,2025,Mains,225,133.68,125.77,99.03,82.97,130.49,"SBI PO 2025
Mains Qualifying Marks:
UR: 133.68 | OBC: 125.77 | SC: 99.03 | ST: 82.97 | EWS: 130.49
Total Marks: 225"
RBI Grade B,RBI,2023,Phase-I,200,118.0,112.77,106.39,95.53,113.7,"Category-wise Phase-I cut-off marks for RBI Grade B 2023:
Unreserved: 118.0, Other Backward Classes: 112.77, Scheduled Caste: 106.39, Scheduled Tribe: 95.53. Maximum marks: 200."
TSPSC Group I,TSPSC,2024,Final,1050,596.54,571.95,618.38,551.2,590.66,"TSPSC Group I 2024
Final Qualifying Marks:
UR: 596.54 | OBC: 571.95 | SC: 618.38 | ST: 551.2 | EWS: 590.66
Total Marks: 1050"
SBI PO,SBI,2022,Mains,225,128.92,98.92,86.38,82.0,124.76,"The cutoff for SBI PO Mains (2022) has been declared. General category cutoff is 128.92/225, OBC cutoff is 98.92/225, SC cutoff is 86.38/225, ST cutoff is 82.0/225."
SSC CHSL,SSC,2024,Final,300,202.14,230.54,183.7,136.45,199.1,"Category-wise Final cut-off marks for SSC CHSL 2024:
Unreserved: 202.14, Other Backward Classes: 230.54, Scheduled Caste: 183.7, Scheduled Tribe: 136.45. Maximum marks: 300."
SSC CHSL,SSC,2024,Tier-I,200,173.59,151.67,112.15,107.42,171.03,"SSC CHSL 2024
Tier-I Qualifying Marks:
UR: 173.59 | OBC: 151.67 | SC: 112.15 | ST: 107.42 | EWS: 171.03
Total Marks: 200"
TSPSC Group I,TSPSC,2022,Final,1050,580.43,628.47,576.02,574.34,573.93,"Category-wise Final cut-off marks for TSPSC Group I 2022:
Unreserved: 580.43, Other Backward Classes: 628.47, Scheduled Caste: 576.02, Scheduled Tribe: 574.34. Maximum marks: 1050."
IBPS PO,IBPS,2025,Prelims,100,55.77,64.74,51.05,38.23,53.23,"The cutoff for IBPS PO Prelims (2025) has been declared. General category cutoff is 55.77/100, OBC cutoff is 64.74/100, SC cutoff is 51.05/100, ST cutoff is 38.23/100."
IBPS PO,IBPS,2024,Mains,225,116.45,117.58,100.27,78.61,114.42,"Category-wise Mains cut-off marks for IBPS PO 2024:
Unreserved: 116.45, Other Backward Classes: 117.58, Scheduled Caste: 100.27, Scheduled Tribe: 78.61. Maximum marks: 225."
TSPSC Group I,TSPSC,2022,Final,1050,699.7,638.75,573.91,455.29,696.61,"Category-wise Final cut-off marks for TSPSC Group I 2022:
Unreserved: 699.7, Other Backward Classes: 638.75, Scheduled Caste: 573.91, Scheduled Tribe: 455.29. Maximum marks: 1050."
APPSC Group I,APPSC,2023,Final,1050,588.34,596.47,624.97,452.94,584.62,"Category-wise Final cut-off marks for APPSC Group I 2023:
Unreserved: 588.34, Other Backward Classes: 596.47, Scheduled Caste: 624.97, Scheduled Tribe: 452.94. Maximum marks: 1050."
RRB NTPC,RRB,2024,CBT-1,100,62.8,70.22,52.78,41.36,58.92,"RRB NTPC 2024
CBT-1 Qualifying Marks:
UR: 62.8 | OBC: 70.22 | SC: 52.78 | ST: 41.36 | EWS: 58.92
Total Marks: 100"
RBI Grade B,RBI,2026,Phase-II,300,164.28,162.15,130.08,158.11,159.61,"Category-wise Phase-II cut-off marks for RBI Grade B 2026:
Unreserved: 164.28, Other Backward Classes: 162.15, Scheduled Caste: 130.08, Scheduled Tribe: 158.11. Maximum marks: 300."
UPSC CSE,UPSC,2024,Final,2025,1042.83,873.68,859.1,911.74,1038.65,"UPSC CSE 2024 Final Cutoff Marks (Out of 2025):
General: 1042.83
OBC: 873.68
SC: 859.1
ST: 911.74
EWS: 1038.65"
SSC CHSL,SSC,2023,Tier-I,200,150.37,133.1,126.45,115.97,145.91,"SSC CHSL 2023 Tier-I Cutoff Marks (Out of 200):
General: 150.37
OBC: 133.1
SC: 126.45
ST: 115.97
EWS: 145.91"
IBPS PO,IBPS,2023,Prelims,100,69.3,57.41,56.43,49.23,64.12,"The cutoff for IBPS PO Prelims (2023) has been declared. General category cutoff is 69.3/100, OBC cutoff is 57.41/100, SC cutoff is 56.43/100, ST cutoff is 49.23/100."
UPSC CSE,UPSC,2022,Prelims,200,92.68,94.99,75.57,87.85,84.72,"Category-wise Prelims cut-off marks for UPSC CSE 2022:
Unreserved: 92.68, Other Backward Classes: 94.99, Scheduled Caste: 75.57, Scheduled Tribe: 87.85. Maximum marks: 200."
SSC CGL,SSC,2021,Tier-II,400,327.5,312.52,283.87,234.25,319.57,"The cutoff for SSC CGL Tier-II (2021) has been declared. General category cutoff is 327.5/400, OBC cutoff is 312.52/400, SC cutoff is 283.87/400, ST cutoff is 234.25/400."
IBPS PO,IBPS,2021,Prelims,100,65.99,55.74,50.07,52.61,59.76,"IBPS PO 2021
Prelims Qualifying Marks:
UR: 65.99 | OBC: 55.74 | SC: 50.07 | ST: 52.61 | EWS: 59.76
Total Marks: 100"
SSC CGL,SSC,2020,Tier-II,400,299.4,287.96,242.41,205.55,294.06,"SSC CGL 2020
Tier-II Qualifying Marks:
UR: 299.4 | OBC: 287.96 | SC: 242.41 | ST: 205.55 | EWS: 294.06
Total Marks: 400"
SSC CHSL,SSC,2022,Tier-I,200,142.15,131.78,129.68,113.15,136.46,"SSC CHSL 2022
Tier-I Qualifying Marks:
UR: 142.15 | OBC: 131.78 | SC: 129.68 | ST: 113.15 | EWS: 136.46
Total Marks: 200"
SSC CGL,SSC,2025,Tier-II,400,302.73,313.52,274.48,231.57,298.29,"The cutoff for SSC CGL Tier-II (2025) has been declared. General category cutoff is 302.73/400, OBC cutoff is 313.52/400, SC cutoff is 274.48/400, ST cutoff is 231.57/400."
RBI Grade B,RBI,2025,Phase-II,300,158.95,186.67,167.51,122.15,155.86,"RBI Grade B 2025
Phase-II Qualifying Marks:
UR: 158.95 | OBC: 186.67 | SC: 167.51 | ST: 122.15 | EWS: 155.86
Total Marks: 300"
RBI Grade B,RBI,2023,Phase-I,200,126.0,117.56,98.68,72.71,119.31,"Category-wise Phase-I cut-off marks for RBI Grade B 2023:
Unreserved: 126.0, Other Backward Classes: 117.56, Scheduled Caste: 98.68, Scheduled Tribe: 72.71. Maximum marks: 200."
UPSC CSE,UPSC,2021,Final,2025,962.17,920.47,868.74,782.96,955.37,"UPSC CSE 2021
Final Qualifying Marks:
UR: 962.17 | OBC: 920.47 | SC: 868.74 | ST: 782.96 | EWS: 955.37
Total Marks: 2025"
SSC CHSL,SSC,2020,Final,300,207.86,187.16,158.82,185.76,202.81,"Category-wise Final cut-off marks for SSC CHSL 2020:
Unreserved: 207.86, Other Backward Classes: 187.16, Scheduled Caste: 158.82, Scheduled Tribe: 185.76. Maximum marks: 300."
IBPS PO,IBPS,2024,Prelims,100,67.53,60.27,58.82,51.92,63.9,"IBPS PO 2024 Prelims Cutoff Marks (Out of 100):
General: 67.53
OBC: 60.27
SC: 58.82
ST: 51.92
EWS: 63.9"
APPSC Group I,APPSC,2025,Mains,900,457.71,514.04,401.16,441.58,450.74,"APPSC Group I 2025
Mains Qualifying Marks:
UR: 457.71 | OBC: 514.04 | SC: 401.16 | ST: 441.58 | EWS: 450.74
Total Marks: 900"
RRB NTPC,RRB,2021,CBT-1,100,61.98,65.19,53.17,38.97,55.81,"RRB NTPC 2021
CBT-1 Qualifying Marks:
UR: 61.98 | OBC: 65.19 | SC: 53.17 | ST: 38.97 | EWS: 55.81
Total Marks: 100"
TSPSC Group I,TSPSC,2025,Final,1050,610.5,610.97,555.46,442.35,603.04,"TSPSC Group I 2025 Final Cutoff Marks (Out of 1050):
General: 610.5
OBC: 610.97
SC: 555.46
ST: 442.35
EWS: 603.04"
RBI Grade B,RBI,2021,Phase-I,200,101.66,120.89,111.42,100.17,98.54,"RBI Grade B 2021 Phase-I Cutoff Marks (Out of 200):
General: 101.66
OBC: 120.89
SC: 111.42
ST: 100.17
EWS: 98.54"
APPSC Group I,APPSC,2020,Final,1050,646.98,574.79,542.2,456.65,639.31,"The cutoff for APPSC Group I Final (2020) has been declared. General category cutoff is 646.98/1050, OBC cutoff is 574.79/1050, SC cutoff is 542.2/1050, ST cutoff is 456.65/1050."
SSC CGL,SSC,2020,Tier-I,200,164.57,132.14,126.41,107.86,159.25,"SSC CGL 2020
Tier-I Qualifying Marks:
UR: 164.57 | OBC: 132.14 | SC: 126.41 | ST: 107.86 | EWS: 159.25
Total Marks: 200"
IBPS PO,IBPS,2024,Mains,225,118.94,124.91,77.96,96.65,116.53,"The cutoff for IBPS PO Mains (2024) has been declared. General category cutoff is 118.94/225, OBC cutoff is 124.91/225, SC cutoff is 77.96/225, ST cutoff is 96.65/225."
RRB NTPC,RRB,2020,CBT-1,100,64.69,72.84,60.4,41.45,62.59,"Category-wise CBT-1 cut-off marks for RRB NTPC 2020:
Unreserved: 64.69, Other Backward Classes: 72.84, Scheduled Caste: 60.4, Scheduled Tribe: 41.45. Maximum marks: 100."
APPSC Group I,APPSC,2023,Mains,900,459.24,471.88,386.63,474.66,453.44,"APPSC Group I 2023 Mains Cutoff Marks (Out of 900):
General: 459.24
OBC: 471.88
SC: 386.63
ST: 474.66
EWS: 453.44"
SSC CGL,SSC,2025,Tier-I,200,146.88,129.56,132.83,104.61,143.82,"The cutoff for SSC CGL Tier-I (2025) has been declared. General category cutoff is 146.88/200, OBC cutoff is 129.56/200, SC cutoff is 132.83/200, ST cutoff is 104.61/200."
SBI PO,SBI,2020,Prelims,100,64.44,67.67,63.62,49.0,60.41,"SBI PO 2020
Prelims Qualifying Marks:
UR: 64.44 | OBC: 67.67 | SC: 63.62 | ST: 49.0 | EWS: 60.41
Total Marks: 100"
RRB NTPC,RRB,2021,CBT-2,120,92.67,91.74,75.4,53.87,90.55,"Category-wise CBT-2 cut-off marks for RRB NTPC 2021:
Unreserved: 92.67, Other Backward Classes: 91.74, Scheduled Caste: 75.4, Scheduled Tribe: 53.87. Maximum marks: 120."
SSC CHSL,SSC,2023,Tier-I,200,169.83,136.51,125.91,125.07,164.59,"SSC CHSL 2023 Tier-I Cutoff Marks (Out of 200):
General: 169.83
OBC: 136.51
SC: 125.91
ST: 125.07
EWS: 164.59"
APPSC Group I,APPSC,2024,Final,1050,706.63,650.71,612.65,589.48,700.7,"APPSC Group I 2024
Final Qualifying Marks:
UR: 706.63 | OBC: 650.71 | SC: 612.65 | ST: 589.48 | EWS: 700.7
Total Marks: 1050"
SBI PO,SBI,2021,Mains,225,118.94,98.85,84.09,74.91,111.33,"SBI PO 2021 Mains Cutoff Marks (Out of 225):
General: 118.94
OBC: 98.85
SC: 84.09
ST: 74.91
EWS: 111.33"
RRB NTPC,RRB,2026,CBT-2,120,91.64,76.53,78.28,57.54,89.26,"RRB NTPC 2026 CBT-2 Cutoff Marks (Out of 120):
General: 91.64
OBC: 76.53
SC: 78.28
ST: 57.54
EWS: 89.26"
UPSC CSE,UPSC,2023,Prelims,200,101.09,86.17,80.68,71.32,97.5,"The cutoff for UPSC CSE Prelims (2023) has been declared. General category cutoff is 101.09/200, OBC cutoff is 86.17/200, SC cutoff is 80.68/200, ST cutoff is 71.32/200."
APPSC Group I,APPSC,2025,Prelims,150,83.18,90.76,81.66,56.5,80.61,"APPSC Group I 2025 Prelims Cutoff Marks (Out of 150):
General: 83.18
OBC: 90.76
SC: 81.66
ST: 56.5
EWS: 80.61"
TSPSC Group I,TSPSC,2026,Prelims,150,91.09,86.42,69.11,53.12,83.88,"TSPSC Group I 2026
Prelims Qualifying Marks:
UR: 91.09 | OBC: 86.42 | SC: 69.11 | ST: 53.12 | EWS: 83.88
Total Marks: 150"
SSC CHSL,SSC,2026,Tier-I,200,143.2,146.81,120.86,102.6,138.04,"SSC CHSL 2026
Tier-I Qualifying Marks:
UR: 143.2 | OBC: 146.81 | SC: 120.86 | ST: 102.6 | EWS: 138.04
Total Marks: 200"
UPSC CSE,UPSC,2023,Final,2025,949.19,965.53,872.55,852.39,942.54,"UPSC CSE 2023 Final Cutoff Marks (Out of 2025):
General: 949.19
OBC: 965.53
SC: 872.55
ST: 852.39
EWS: 942.54"
RBI Grade B,RBI,2021,Phase-I,200,111.9,125.1,95.55,90.54,104.8,"Category-wise Phase-I cut-off marks for RBI Grade B 2021:
Unreserved: 111.9, Other Backward Classes: 125.1, Scheduled Caste: 95.55, Scheduled Tribe: 90.54. Maximum marks: 200."
SSC CHSL,SSC,2023,Final,300,247.18,232.39,159.18,169.75,239.81,"Category-wise Final cut-off marks for SSC CHSL 2023:
Unreserved: 247.18, Other Backward Classes: 232.39, Scheduled Caste: 159.18, Scheduled Tribe: 169.75. Maximum marks: 300."
APPSC Group I,APPSC,2025,Prelims,150,97.73,79.1,77.92,66.04,95.55,"Category-wise Prelims cut-off marks for APPSC Group I 2025:
Unreserved: 97.73, Other Backward Classes: 79.1, Scheduled Caste: 77.92, Scheduled Tribe: 66.04. Maximum marks: 150."
RRB NTPC,RRB,2020,CBT-2,120,80.74,73.44,56.11,49.42,75.01,"RRB NTPC 2020
CBT-2 Qualifying Marks:
UR: 80.74 | OBC: 73.44 | SC: 56.11 | ST: 49.42 | EWS: 75.01
Total Marks: 120"
APPSC Group I,APPSC,2020,Final,1050,592.91,606.82,561.59,456.63,585.18,"APPSC Group I 2020 Final Cutoff Marks (Out of 1050):
General: 592.91
OBC: 606.82
SC: 561.59
ST: 456.63
EWS: 585.18"
IBPS PO,IBPS,2026,Prelims,100,73.94,53.13,57.42,52.8,68.58,"Category-wise Prelims cut-off marks for IBPS PO 2026:
Unreserved: 73.94, Other Backward Classes: 53.13, Scheduled Caste: 57.42, Scheduled Tribe: 52.8. Maximum marks: 100."
RBI Grade B,RBI,2025,Phase-I,200,117.57,127.5,95.54,86.58,113.89,"RBI Grade B 2025
Phase-I Qualifying Marks:
UR: 117.57 | OBC: 127.5 | SC: 95.54 | ST: 86.58 | EWS: 113.89
Total Marks: 200"
RRB NTPC,RRB,2022,CBT-2,120,95.59,72.59,73.94,67.31,88.94,"RRB NTPC 2022 CBT-2 Cutoff Marks (Out of 120):
General: 95.59
OBC: 72.59
SC: 73.94
ST: 67.31
EWS: 88.94"
RBI Grade B,RBI,2020,Phase-II,300,198.53,145.91,151.35,128.81,195.2,"Category-wise Phase-II cut-off marks for RBI Grade B 2020:
Unreserved: 198.53, Other Backward Classes: 145.91, Scheduled Caste: 151.35, Scheduled Tribe: 128.81. Maximum marks: 300."
RBI Grade B,RBI,2023,Phase-I,200,130.76,98.74,110.66,70.64,127.83,"RBI Grade B 2023
Phase-I Qualifying Marks:
UR: 130.76 | OBC: 98.74 | SC: 110.66 | ST: 70.64 | EWS: 127.83
Total Marks: 200"
APPSC Group I,APPSC,2026,Mains,900,553.5,535.13,480.72,359.14,548.23,"The cutoff for APPSC Group I Mains (2026) has been declared. General category cutoff is 553.5/900, OBC cutoff is 535.13/900, SC cutoff is 480.72/900, ST cutoff is 359.14/900."
SSC CGL,SSC,2024,Tier-I,200,133.6,124.07,114.48,101.88,129.85,"The cutoff for SSC CGL Tier-I (2024) has been declared. General category cutoff is 133.6/200, OBC cutoff is 124.07/200, SC cutoff is 114.48/200, ST cutoff is 101.88/200."
IBPS PO,IBPS,2022,Mains,225,124.73,123.3,114.9,68.66,122.25,"IBPS PO 2022
Mains Qualifying Marks:
UR: 124.73 | OBC: 123.3 | SC: 114.9 | ST: 68.66 | EWS: 122.25
Total Marks: 225"
SBI PO,SBI,2023,Prelims,100,75.85,59.25,51.71,58.39,69.74,"The cutoff for SBI PO Prelims (2023) has been declared. General category cutoff is 75.85/100, OBC cutoff is 59.25/100, SC cutoff is 51.71/100, ST cutoff is 58.39/100."
UPSC CSE,UPSC,2021,Final,2025,999.3,967.59,849.57,884.48,993.22,"UPSC CSE 2021
Final Qualifying Marks:
UR: 999.3 | OBC: 967.59 | SC: 849.57 | ST: 884.48 | EWS: 993.22
Total Marks: 2025"
SSC CHSL,SSC,2026,Final,300,224.67,186.87,183.84,147.8,217.96,"SSC CHSL 2026
Final Qualifying Marks:
UR: 224.67 | OBC: 186.87 | SC: 183.84 | ST: 147.8 | EWS: 217.96
Total Marks: 300"
SSC CGL,SSC,2022,Tier-II,400,354.65,277.6,235.39,199.08,352.37,"The cutoff for SSC CGL Tier-II (2022) has been declared. General category cutoff is 354.65/400, OBC cutoff is 277.6/400, SC cutoff is 235.39/400, ST cutoff is 199.08/400."
SSC CGL,SSC,2024,Final,700,616.69,473.77,493.09,408.65,610.4,"SSC CGL 2024
Final Qualifying Marks:
UR: 616.69 | OBC: 473.77 | SC: 493.09 | ST: 408.65 | EWS: 610.4
Total Marks: 700"
SSC CHSL,SSC,2026,Final,300,253.69,205.4,187.53,189.39,251.34,"SSC CHSL 2026
Final Qualifying Marks:
UR: 253.69 | OBC: 205.4 | SC: 187.53 | ST: 189.39 | EWS: 251.34
Total Marks: 300"
APPSC Group I,APPSC,2022,Prelims,150,91.13,74.35,84.84,59.44,86.04,"APPSC Group I 2022 Prelims Cutoff Marks (Out of 150):
General: 91.13
OBC: 74.35
SC: 84.84
ST: 59.44
EWS: 86.04"
IBPS PO,IBPS,2021,Prelims,100,66.85,62.83,55.03,47.09,63.66,"IBPS PO 2021 Prelims Cutoff Marks (Out of 100):
General: 66.85
OBC: 62.83
SC: 55.03
ST: 47.09
EWS: 63.66"
RRB NTPC,RRB,2024,CBT-1,100,76.52,74.25,62.72,45.69,71.29,"RRB NTPC 2024 CBT-1 Cutoff Marks (Out of 100):
General: 76.52
OBC: 74.25
SC: 62.72
ST: 45.69
EWS: 71.29"
APPSC Group I,APPSC,2023,Final,1050,615.56,632.68,623.6,504.67,607.92,"APPSC Group I 2023 Final Cutoff Marks (Out of 1050):
General: 615.56
OBC: 632.68
SC: 623.6
ST: 504.67
EWS: 607.92"
UPSC CSE,UPSC,2021,Prelims,200,99.72,89.82,79.09,75.01,96.8,"Category-wise Prelims cut-off marks for UPSC CSE 2021:
Unreserved: 99.72, Other Backward Classes: 89.82, Scheduled Caste: 79.09, Scheduled Tribe: 75.01. Maximum marks: 200."
APPSC Group I,APPSC,2025,Final,1050,604.76,614.56,627.35,462.1,601.09,"Category-wise Final cut-off marks for APPSC Group I 2025:
Unreserved: 604.76, Other Backward Classes: 614.56, Scheduled Caste: 627.35, Scheduled Tribe: 462.1. Maximum marks: 1050."
UPSC CSE,UPSC,2021,Final,2025,928.32,895.18,923.67,826.4,926.02,"UPSC CSE 2021 Final Cutoff Marks (Out of 2025):
General: 928.32
OBC: 895.18
SC: 923.67
ST: 826.4
EWS: 926.02"
SSC CGL,SSC,2023,Tier-II,400,354.64,302.48,276.13,216.52,349.46,"The cutoff for SSC CGL Tier-II (2023) has been declared. General category cutoff is 354.64/400, OBC cutoff is 302.48/400, SC cutoff is 276.13/400, ST cutoff is 216.52/400."
SSC CHSL,SSC,2025,Final,300,245.67,202.26,182.49,136.19,237.73,"Category-wise Final cut-off marks for SSC CHSL 2025:
Unreserved: 245.67, Other Backward Classes: 202.26, Scheduled Caste: 182.49, Scheduled Tribe: 136.19. Maximum marks: 300."
SBI PO,SBI,2022,Prelims,100,63.01,72.3,64.36,49.57,55.16,"SBI PO 2022
Prelims Qualifying Marks:
UR: 63.01 | OBC: 72.3 | SC: 64.36 | ST: 49.57 | EWS: 55.16
Total Marks: 100"
RBI Grade B,RBI,2026,Phase-II,300,162.9,175.42,137.14,126.14,159.44,"RBI Grade B 2026
Phase-II Qualifying Marks:
UR: 162.9 | OBC: 175.42 | SC: 137.14 | ST: 126.14 | EWS: 159.44
Total Marks: 300"
SSC CGL,SSC,2023,Tier-II,400,296.98,271.16,279.82,246.38,291.92,"The cutoff for SSC CGL Tier-II (2023) has been declared. General category cutoff is 296.98/400, OBC cutoff is 271.16/400, SC cutoff is 279.82/400, ST cutoff is 246.38/400."
RRB NTPC,RRB,2020,CBT-1,100,62.73,62.14,49.82,56.01,56.42,"RRB NTPC 2020 CBT-1 Cutoff Marks (Out of 100):
General: 62.73
OBC: 62.14
SC: 49.82
ST: 56.01
EWS: 56.42"
UPSC CSE,UPSC,2023,Mains,1750,781.12,738.8,717.05,679.7,775.98,"UPSC CSE 2023
Mains Qualifying Marks:
UR: 781.12 | OBC: 738.8 | SC: 717.05 | ST: 679.7 | EWS: 775.98
Total Marks: 1750"
UPSC CSE,UPSC,2026,Prelims,200,108.99,92.16,83.89,77.59,101.75,"UPSC CSE 2026 Prelims Cutoff Marks (Out of 200):
General: 108.99
OBC: 92.16
SC: 83.89
ST: 77.59
EWS: 101.75"
IBPS PO,IBPS,2023,Prelims,100,58.09,59.0,51.93,52.7,51.88,"IBPS PO 2023
Prelims Qualifying Marks:
UR: 58.09 | OBC: 59.0 | SC: 51.93 | ST: 52.7 | EWS: 51.88
Total Marks: 100"
TSPSC Group I,TSPSC,2021,Final,1050,677.51,606.24,585.22,522.13,670.05,"TSPSC Group I 2021 Final Cutoff Marks (Out of 1050):
General: 677.51
OBC: 606.24
SC: 585.22
ST: 522.13
EWS: 670.05"
SSC CGL,SSC,2021,Tier-I,200,141.6,123.86,111.52,87.28,135.57,"Category-wise Tier-I cut-off marks for SSC CGL 2021:
Unreserved: 141.6, Other Backward Classes: 123.86, Scheduled Caste: 111.52, Scheduled Tribe: 87.28. Maximum marks: 200."
UPSC CSE,UPSC,2025,Mains,1750,752.12,785.65,768.55,656.94,744.56,"UPSC CSE 2025 Mains Cutoff Marks (Out of 1750):
General: 752.12
OBC: 785.65
SC: 768.55
ST: 656.94
EWS: 744.56"
SSC CHSL,SSC,2026,Final,300,206.21,229.23,184.69,137.01,199.82,"The cutoff for SSC CHSL Final (2026) has been declared. General category cutoff is 206.21/300, OBC cutoff is 229.23/300, SC cutoff is 184.69/300, ST cutoff is 137.01/300."
RRB NTPC,RRB,2026,CBT-1,100,68.81,61.08,64.1,53.52,61.01,"The cutoff for RRB NTPC CBT-1 (2026) has been declared. General category cutoff is 68.81/100, OBC cutoff is 61.08/100, SC cutoff is 64.1/100, ST cutoff is 53.52/100."
SSC CHSL,SSC,2021,Final,300,219.27,211.95,180.42,132.77,214.2,"The cutoff for SSC CHSL Final (2021) has been declared. General category cutoff is 219.27/300, OBC cutoff is 211.95/300, SC cutoff is 180.42/300, ST cutoff is 132.77/300."
UPSC CSE,UPSC,2026,Prelims,200,98.03,88.61,92.79,89.43,90.74,"The cutoff for UPSC CSE Prelims (2026) has been declared. General category cutoff is 98.03/200, OBC cutoff is 88.61/200, SC cutoff is 92.79/200, ST cutoff is 89.43/200."
APPSC Group I,APPSC,2021,Prelims,150,92.32,89.24,64.91,64.09,84.89,"APPSC Group I 2021
Prelims Qualifying Marks:
UR: 92.32 | OBC: 89.24 | SC: 64.91 | ST: 64.09 | EWS: 84.89
Total Marks: 150"
APPSC Group I,APPSC,2022,Final,1050,652.01,641.47,607.94,515.06,647.88,"APPSC Group I 2022
Final Qualifying Marks:
UR: 652.01 | OBC: 641.47 | SC: 607.94 | ST: 515.06 | EWS: 647.88
Total Marks: 1050"
SBI PO,SBI,2025,Mains,225,142.75,96.54,83.89,77.08,135.21,"Category-wise Mains cut-off marks for SBI PO 2025:
Unreserved: 142.75, Other Backward Classes: 96.54, Scheduled Caste: 83.89, Scheduled Tribe: 77.08. Maximum marks: 225."
SSC CGL,SSC,2020,Final,700,541.78,517.36,404.62,466.58,533.85,"Category-wise Final cut-off marks for SSC CGL 2020:
Unreserved: 541.78, Other Backward Classes: 517.36, Scheduled Caste: 404.62, Scheduled Tribe: 466.58. Maximum marks: 700."
RBI Grade B,RBI,2025,Phase-I,200,123.46,100.52,83.03,92.82,116.39,"Category-wise Phase-I cut-off marks for RBI Grade B 2025:
Unreserved: 123.46, Other Backward Classes: 100.52, Scheduled Caste: 83.03, Scheduled Tribe: 92.82. Maximum marks: 200."
RRB NTPC,RRB,2020,CBT-2,120,92.43,76.74,79.17,54.87,90.18,"RRB NTPC 2020 CBT-2 Cutoff Marks (Out of 120):
General: 92.43
OBC: 76.74
SC: 79.17
ST: 54.87
EWS: 90.18"
RRB NTPC,RRB,2021,CBT-2,120,82.89,78.43,63.55,48.01,79.5,"RRB NTPC 2021
CBT-2 Qualifying Marks:
UR: 82.89 | OBC: 78.43 | SC: 63.55 | ST: 48.01 | EWS: 79.5
Total Marks: 120"
APPSC Group I,APPSC,2020,Final,1050,643.66,621.26,616.55,562.22,639.52,"APPSC Group I 2020
Final Qualifying Marks:
UR: 643.66 | OBC: 621.26 | SC: 616.55 | ST: 562.22 | EWS: 639.52
Total Marks: 1050"
SBI PO,SBI,2024,Mains,225,139.31,102.08,82.06,94.41,131.69,"Category-wise Mains cut-off marks for SBI PO 2024:
Unreserved: 139.31, Other Backward Classes: 102.08, Scheduled Caste: 82.06, Scheduled Tribe: 94.41. Maximum marks: 225."
SSC CGL,SSC,2026,Tier-I,200,164.48,139.27,102.58,109.82,158.17,"Category-wise Tier-I cut-off marks for SSC CGL 2026:
Unreserved: 164.48, Other Backward Classes: 139.27, Scheduled Caste: 102.58, Scheduled Tribe: 109.82. Maximum marks: 200."
RBI Grade B,RBI,2022,Phase-II,300,153.26,147.32,150.14,120.62,147.16,"The cutoff for RBI Grade B Phase-II (2022) has been declared. General category cutoff is 153.26/300, OBC cutoff is 147.32/300, SC cutoff is 150.14/300, ST cutoff is 120.62/300."
SBI PO,SBI,2025,Prelims,100,64.96,75.0,45.34,48.33,60.29,"The cutoff for SBI PO Prelims (2025) has been declared. General category cutoff is 64.96/100, OBC cutoff is 75.0/100, SC cutoff is 45.34/100, ST cutoff is 48.33/100."
SSC CGL,SSC,2023,Tier-I,200,137.27,142.77,103.47,95.59,130.23,"SSC CGL 2023
Tier-I Qualifying Marks:
UR: 137.27 | OBC: 142.77 | SC: 103.47 | ST: 95.59 | EWS: 130.23
Total Marks: 200"
TSPSC Group I,TSPSC,2024,Prelims,150,89.75,79.67,67.43,60.91,85.85,"Category-wise Prelims cut-off marks for TSPSC Group I 2024:
Unreserved: 89.75, Other Backward Classes: 79.67, Scheduled Caste: 67.43, Scheduled Tribe: 60.91. Maximum marks: 150."
