text,entities_extracted,organization,exam_name,vacancies
"The RBI invites online applications from eligible candidates for direct recruitment to 300 posts of Group-II Officer in Reserve Bank of India. Candidates should possess M.Tech in Computer Science/Information Technology. The age of the candidate should be between 18-30 years. Application fee is ₹1500. The pay scale for the post is Level-6: ₹35,400-1,12,400. Interested candidates may apply online from 11-Sep-2026 to 10-10-2026. The computer based test is tentatively scheduled on 18.04.2026. Required experience: 5 years of experience in relevant field.","ORGANIZATION:RBI; VACANCY_COUNT:300; POST_NAME:Group-II Officer; QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:18-30 years; APPLICATION_FEE:₹1500; PAY_SCALE:Level-6: ₹35,400-1,12,400; START_DATE:11-Sep-2026; LAST_DATE:10-10-2026; EXAM_DATE:18.04.2026; EXPERIENCE:5 years of experience in relevant field",RBI,National Defence Academy (NDA) Examination 2026,300
"The DRDO invites online applications from eligible candidates for direct recruitment to 100 posts of Inspector of Posts in Defence Research & Development Organisation. Candidates should possess B.Ed. with B.Sc. in relevant subject. The age of the candidate should be between 23-35 years. Application fee is ₹250. The pay scale for the post is Level-14: ₹1,44,200-2,18,200. Interested candidates may apply online from 20 May 2026 to 18st August 2027. The computer based test is tentatively scheduled on 4nd April 2027. Required experience: 5 years of experience in relevant field.","ORGANIZATION:DRDO; VACANCY_COUNT:100; POST_NAME:Inspector of Posts; QUALIFICATION:B.Ed. with B.Sc. in relevant subject; AGE_LIMIT:23-35 years; APPLICATION_FEE:₹250; PAY_SCALE:Level-14: ₹1,44,200-2,18,200; START_DATE:20 May 2026; LAST_DATE:18st August 2027; EXAM_DATE:4nd April 2027; EXPERIENCE:5 years of experience in relevant field",DRDO,CTET July 2026,100
"SAIL Recruitment 2024 - Scientist B

The Steel Authority of India Limited has announced 1000 vacancies.
Eligible candidates having Ph.D. in relevant discipline can apply.
Candidates age should not exceed 20-28 years.
Pay: Level-8: ₹47,600-1,51,100
Fee: Nil
Apply from: 20 May 2026
Apply before: 23/02/2026
Exam: 23.08.2026
Experience required: 5 years of experience in relevant field","ORGANIZATION:SAIL; POST_NAME:Scientist B; VACANCY_COUNT:1000; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:20-28 years; PAY_SCALE:Level-8: ₹47,600-1,51,100; APPLICATION_FEE:Nil; START_DATE:20 May 2026; LAST_DATE:23/02/2026; EXAM_DATE:23.08.2026; EXPERIENCE:5 years of experience in relevant field",SAIL,Stenographer Grade C & D Recruitment 2026,1000
"The EPFO invites online applications from eligible candidates for direct recruitment to 750 posts of Assistant in Employees Provident Fund Organisation. Candidates should possess Graduate with minimum 60% marks from recognized university. The age of the candidate should be between 19.5-25 years. Application fee is No fee. The pay scale for the post is ₹50,000-₹60,000 per month. Interested candidates may apply online from 15 April, 2026 to 24nd March 2027. The computer based test is tentatively scheduled on 18/11/2027. Required experience: 5 years of experience in relevant field.","ORGANIZATION:EPFO; VACANCY_COUNT:750; POST_NAME:Assistant; QUALIFICATION:Graduate with minimum 60% marks from recognized university; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:No fee; PAY_SCALE:₹50,000-₹60,000 per month; START_DATE:15 April, 2026; LAST_DATE:24nd March 2027; EXAM_DATE:18/11/2027; EXPERIENCE:5 years of experience in relevant field",EPFO,Indian Air Force AFCAT 2026,750
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Bharat Electronics Limited (BEL)

Post: Fitter
Number of Posts: 30 nos.
Qualification: M.Tech in Computer Science/Information Technology
Age: Not exceeding 18-30 years
Consolidated Pay: ₹50,000-₹60,000 per month
No application fee required.
Registration Date: 09/06/2026
Walk-in Date: 17.04.2026
Experience: No experience required","ORGANIZATION:BEL; POST_NAME:Fitter; VACANCY_COUNT:30; QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:18-30 years; PAY_SCALE:₹50,000-₹60,000 per month; START_DATE:09/06/2026; LAST_DATE:17.04.2026; EXPERIENCE:No experience required",BEL,TSPSC Group-I Services Recruitment 2026,30
"National Bank for Agriculture & Rural Development (NABARD) has released notification for HAL Management Trainee Recruitment 2026. Total number of vacancies: 10000 posts for the post of Stenographer Grade C. Educational Qualification: Graduate with minimum 60% marks from recognized university. Age Limit: 18-35 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹250 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: ₹25,000 consolidated per month. Application Start Date: 03.01.2026. Last Date to Apply: 14.11.2027. Date of Examination: 10-Oct-2027. Experience: 2 years of experience in relevant field.","ORGANIZATION:NABARD; VACANCY_COUNT:10000; POST_NAME:Stenographer Grade C; QUALIFICATION:Graduate with minimum 60% marks from recognized university; AGE_LIMIT:18-35 years; APPLICATION_FEE:₹250; PAY_SCALE:₹25,000 consolidated per month; START_DATE:03.01.2026; LAST_DATE:14.11.2027; EXAM_DATE:10-Oct-2027; EXPERIENCE:2 years of experience in relevant field",NABARD,HAL Management Trainee Recruitment 2026,10000
"LIC Recruitment 2025 - Section Officer

The Life Insurance Corporation of India has announced 10 vacancies.
Eligible candidates having B.Sc. Nursing from recognized institute can apply.
Candidates age should not exceed 23-35 years.
Pay: Level-7: ₹44,900-1,42,400
Fee: ₹1000
Apply from: 17-Dec-2026
Apply before: 20 July 2026
Exam: 16-05-2026
Experience required: 5 years of experience in relevant field","ORGANIZATION:LIC; POST_NAME:Section Officer; VACANCY_COUNT:10; QUALIFICATION:B.Sc. Nursing from recognized institute; AGE_LIMIT:23-35 years; PAY_SCALE:Level-7: ₹44,900-1,42,400; APPLICATION_FEE:₹1000; START_DATE:17-Dec-2026; LAST_DATE:20 July 2026; EXAM_DATE:16-05-2026; EXPERIENCE:5 years of experience in relevant field",LIC,APPSC Degree College Lecturer Recruitment 2026,10
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 13/2025

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Group-II Officer.

Total Vacancies: 150 posts
Educational Qualification: Intermediate (10+2) with typing speed 35 WPM
Age: 19.5-25 years as on 01/07/2026
Fee: ₹250
Pay Scale: Level-12: ₹78,800-2,09,200
Registration Start: 5 April, 2026
Last Date to Apply: 11th August 2027
Preliminary Exam Date: 08.12.2027
Experience: 3 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:TSPSC; POST_NAME:Group-II Officer; VACANCY_COUNT:150; QUALIFICATION:Intermediate (10+2) with typing speed 35 WPM; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹250; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:5 April, 2026; LAST_DATE:11th August 2027; EXAM_DATE:08.12.2027; EXPERIENCE:3 years of experience in relevant field",TSPSC,IBPS Clerk Recruitment CRP Clerks-XIV,150
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 12/2025

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Executive Trainee.

Total Vacancies: 2 posts
Educational Qualification: Post Graduate Degree in relevant subject with UGC NET
Age: 25-40 years as on 01/07/2024
Fee: ₹200
Pay Scale: ₹30,000 consolidated per month
Registration Start: 15 August 2026
Last Date to Apply: 14/02/2027
Preliminary Exam Date: 04.07.2026
Experience: 2 years of experience in relevant field
Selection: Prelims + Mains + Interview","VACANCY_COUNT:2; ORGANIZATION:TSPSC; POST_NAME:Executive Trainee; QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:25-40 years; APPLICATION_FEE:₹200; PAY_SCALE:₹30,000 consolidated per month; START_DATE:15 August 2026; LAST_DATE:14/02/2027; EXAM_DATE:04.07.2026; EXPERIENCE:2 years of experience in relevant field",TSPSC,NIC Scientist B Recruitment 2026,2
"Telangana PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 13/2025

The Telangana Public Service Commission (TSPSC) invites applications for recruitment to the post of Constable.

Total Vacancies: 100 posts
Educational Qualification: B.Com/M.Com with CA/ICWA qualification
Age: 19.5-25 years as on 01/07/2026
Fee: ₹100
Pay Scale: Level-7: ₹44,900-1,42,400
Registration Start: 2rd May 2026
Last Date to Apply: 08.09.2027
Preliminary Exam Date: 17/08/2026
Experience: 2 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:TSPSC; POST_NAME:Constable; VACANCY_COUNT:100; QUALIFICATION:B.Com/M.Com with CA/ICWA qualification; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-7: ₹44,900-1,42,400; START_DATE:2rd May 2026; LAST_DATE:08.09.2027; EXAM_DATE:17/08/2026; EXPERIENCE:2 years of experience in relevant field",TSPSC,ONGC Graduate Trainee through GATE 2026,100
"RECRUITMENT NOTIFICATION
Advertisement No. 3/2026
Organization: Bharat Electronics Limited
Name of Post: Scientist B
No. of Vacancies: 3
Qualification Required: Any Degree with knowledge of Computer Applications
Maximum Age: 18-35 years
Fee: ₹2000
Salary/Pay: ₹50,000-₹60,000 per month
Opening Date: 19nd May 2026
Closing Date: 27 July, 2026
Exam Date: 4 January, 2027
Work Experience: 3 years of experience in relevant field","VACANCY_COUNT:3; POST_NAME:Scientist B; QUALIFICATION:Any Degree with knowledge of Computer Applications; AGE_LIMIT:18-35 years; APPLICATION_FEE:₹2000; PAY_SCALE:₹50,000-₹60,000 per month; START_DATE:19nd May 2026; LAST_DATE:27 July, 2026; EXAM_DATE:4 January, 2027; EXPERIENCE:3 years of experience in relevant field",BEL,APPSC Group-II Services Recruitment 2026,3
"Indian Space Research Organisation (ISRO) has released notification for ONGC Graduate Trainee through GATE 2026. Total number of vacancies: 50 posts for the post of Software Developer. Educational Qualification: Degree in Engineering with 2 years experience. Age Limit: 18-32 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹100 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Level-12: ₹78,800-2,09,200. Application Start Date: 03.07.2026. Last Date to Apply: 8 February, 2026. Date of Examination: 10.09.2027. Experience: 1 years of experience in relevant field.","ORGANIZATION:ISRO; VACANCY_COUNT:50; POST_NAME:Software Developer; QUALIFICATION:Degree in Engineering with 2 years experience; AGE_LIMIT:18-32 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-12: ₹78,800-2,09,200; START_DATE:03.07.2026; LAST_DATE:8 February, 2026; EXAM_DATE:10.09.2027; EXPERIENCE:1 years of experience in relevant field",ISRO,ONGC Graduate Trainee through GATE 2026,50
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Employees Provident Fund Organisation (EPFO)

Post: Technical Officer
Number of Posts: 14000 nos.
Qualification: B.Ed. with B.Sc. in relevant subject
Age: Not exceeding 21-30 years
Consolidated Pay: Level-2: ₹19,900-63,200
No application fee required.
Registration Date: 28 August, 2026
Walk-in Date: 27.09.2026
Experience: Freshers can apply","ORGANIZATION:EPFO; POST_NAME:Technical Officer; VACANCY_COUNT:14000; QUALIFICATION:B.Ed. with B.Sc. in relevant subject; AGE_LIMIT:21-30 years; PAY_SCALE:Level-2: ₹19,900-63,200; START_DATE:28 August, 2026; LAST_DATE:27.09.2026; EXPERIENCE:Freshers can apply",EPFO,Civil Services Examination (CSE) 2026,14000
"Life Insurance Corporation of India
RECRUITMENT OF DRAUGHTSMAN - 2026

LIC invites applications from eligible Indian Citizens for appointment of Draughtsman in various branches/offices across India.

Vacancies: 10000 (including backlog)
Category-wise: UR-4000, OBC-2700, SC-1500, ST-800, EWS-1000

Eligibility: Ph.D. in relevant discipline
Age on cutoff date: 21-30 years
Fee: No fee + GST for General/OBC, Nil for SC/ST/PwBD
CTC: Level-2: ₹19,900-63,200 approximately
Online application: 23nd July 2026 to 20rd October 2026
Online exam: 08 January 2026
Experience: 1 years of experience in relevant field","ORGANIZATION:LIC; POST_NAME:Draughtsman; VACANCY_COUNT:10000; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:21-30 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-2: ₹19,900-63,200; START_DATE:23nd July 2026; LAST_DATE:20rd October 2026; EXAM_DATE:08 January 2026; EXPERIENCE:1 years of experience in relevant field",LIC,AIIMS Nursing Officer Recruitment 2026,10000
"NTPC Recruitment 2024 - Graduate Engineer Trainee (GET)

The National Thermal Power Corporation has announced 2 vacancies.
Eligible candidates having M.Tech in Computer Science/Information Technology can apply.
Candidates age should not exceed 18-25 years.
Pay: ₹35,000-₹40,000 per month
Fee: ₹200
Apply from: 06-01-2026
Apply before: 19 February 2027
Exam: 11/04/2027
Experience required: No experience required","ORGANIZATION:NTPC; VACANCY_COUNT:2; POST_NAME:Graduate Engineer Trainee (GET); QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:18-25 years; PAY_SCALE:₹35,000-₹40,000 per month; APPLICATION_FEE:₹200; START_DATE:06-01-2026; LAST_DATE:19 February 2027; EXAM_DATE:11/04/2027; EXPERIENCE:No experience required",NTPC,CDAC Project Engineer Recruitment 2026,2
"RECRUITMENT NOTIFICATION
Advertisement No. 3/2024
Organization: Steel Authority of India Limited
Name of Post: Clerk
No. of Vacancies: 1
Qualification Required: Degree in Engineering with 2 years experience
Maximum Age: 23-35 years
Fee: No fee
Salary/Pay: Level-11: ₹67,700-2,08,700
Opening Date: 12-05-2026
Closing Date: 15-05-2026
Exam Date: 02/09/2026
Work Experience: 1 years of experience in relevant field","POST_NAME:Clerk; VACANCY_COUNT:1; QUALIFICATION:Degree in Engineering with 2 years experience; AGE_LIMIT:23-35 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-11: ₹67,700-2,08,700; START_DATE:12-05-2026; LAST_DATE:15-05-2026; EXAM_DATE:02/09/2026; EXPERIENCE:1 years of experience in relevant field",SAIL,Power Grid Executive Trainee through GATE 2026,1
"Staff Selection Commission
RECRUITMENT OF LOWER DIVISION CLERK (LDC) - 2024

SSC invites applications from eligible Indian Citizens for appointment of Lower Division Clerk (LDC) in various branches/offices across India.

Vacancies: 25 (including backlog)
Category-wise: UR-10, OBC-6, SC-3, ST-2, EWS-2

Eligibility: MBA/PGDM from recognized institute
Age on cutoff date: 21-32 years
Fee: No fee + GST for General/OBC, Nil for SC/ST/PwBD
CTC: Pay Band-3: ₹15,600-39,100 + Grade Pay ₹5,400 approximately
Online application: 02-05-2026 to 06/10/2026
Online exam: 19.07.2027
Experience: 1 years of experience in relevant field","ORGANIZATION:SSC; POST_NAME:Lower Division Clerk (LDC); VACANCY_COUNT:25; QUALIFICATION:MBA/PGDM from recognized institute; AGE_LIMIT:21-32 years; APPLICATION_FEE:No fee; PAY_SCALE:Pay Band-3: ₹15,600-39,100 + Grade Pay ₹5,400; START_DATE:02-05-2026; LAST_DATE:06/10/2026; EXAM_DATE:19.07.2027; EXPERIENCE:1 years of experience in relevant field",SSC,SBI Specialist Officer (IT) Recruitment 2026,25
"Applications are invited for 300 positions of Inspector of Posts in Food Corporation of India (FCI). Essential qualification is Post Graduate Degree in relevant subject with UGC NET. Upper age limit is 18-30 years as on closing date. Selection will be through written examination. Examination fee: ₹300. Remuneration: Level-11: ₹67,700-2,08,700. Online registration opens: 04 April 2026. Last date for submission: 11.08.2026. Written test date: 17th June 2027. Desired experience: 2 years of experience in relevant field.","VACANCY_COUNT:300; POST_NAME:Inspector of Posts; ORGANIZATION:FCI; QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:18-30 years; APPLICATION_FEE:₹300; PAY_SCALE:Level-11: ₹67,700-2,08,700; START_DATE:04 April 2026; LAST_DATE:11.08.2026; EXAM_DATE:17th June 2027; EXPERIENCE:2 years of experience in relevant field",FCI,SBI Clerk Recruitment 2026,300
"Applications are invited for 1 positions of Lower Division Clerk (LDC) in Staff Selection Commission (SSC). Essential qualification is Ph.D. in relevant discipline. Upper age limit is 18-32 years as on closing date. Selection will be through written examination. Examination fee: No fee. Remuneration: Level-5: ₹29,200-92,300. Online registration opens: 17/12/2026. Last date for submission: 13-06-2027. Written test date: 14 September 2026. Desired experience: 2 years of experience in relevant field.","VACANCY_COUNT:1; POST_NAME:Lower Division Clerk (LDC); ORGANIZATION:SSC; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:18-32 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-5: ₹29,200-92,300; START_DATE:17/12/2026; LAST_DATE:13-06-2027; EXAM_DATE:14 September 2026; EXPERIENCE:2 years of experience in relevant field",SSC,NIELIT Scientist B Recruitment 2026,1
"DMRC Recruitment 2024 - Stenographer Grade C

The Delhi Metro Rail Corporation has announced 5000 vacancies.
Eligible candidates having M.Tech in Computer Science/Information Technology can apply.
Candidates age should not exceed 21-35 years.
Pay: Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200
Fee: ₹100
Apply from: 17st July 2026
Apply before: 28 March, 2027
Exam: 26-Mar-2026
Experience required: Freshers eligible","ORGANIZATION:DMRC; POST_NAME:Stenographer Grade C; VACANCY_COUNT:5000; QUALIFICATION:M.Tech in Computer Science/Information Technology; AGE_LIMIT:21-35 years; PAY_SCALE:Pay Band-2: ₹9,300-34,800 + Grade Pay ₹4,200; APPLICATION_FEE:₹100; START_DATE:17st July 2026; LAST_DATE:28 March, 2027; EXAM_DATE:26-Mar-2026; EXPERIENCE:Freshers eligible",DMRC,IOCL Engineers/Officers through GATE 2026,5000
"National Institute of Electronics & IT (NIELIT) has released notification for ECIL Graduate Engineer Trainee (GET) Recruitment 2026. Total number of vacancies: 200 posts for the post of Section Officer. Educational Qualification: Any Degree with knowledge of Computer Applications. Age Limit: 20-28 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹100 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Pay Band-3: ₹15,600-39,100 + Grade Pay ₹5,400. Application Start Date: 08/10/2026. Last Date to Apply: 08 August 2026. Date of Examination: 15 February, 2026. Experience: 1 years of experience in relevant field.","ORGANIZATION:NIELIT; VACANCY_COUNT:200; POST_NAME:Section Officer; QUALIFICATION:Any Degree with knowledge of Computer Applications; AGE_LIMIT:20-28 years; APPLICATION_FEE:₹100; PAY_SCALE:Pay Band-3: ₹15,600-39,100 + Grade Pay ₹5,400; START_DATE:08/10/2026; LAST_DATE:08 August 2026; EXAM_DATE:15 February, 2026; EXPERIENCE:1 years of experience in relevant field",NIELIT,ECIL Graduate Engineer Trainee (GET) Recruitment 2026,200
"Applications are invited for 5 positions of Group-II Officer in Software Technology Parks of India (STPI). Essential qualification is Matriculation (10th pass) from recognized board. Upper age limit is 19.5-25 years as on closing date. Selection will be through written examination. Examination fee: No fee. Remuneration: Level-8: ₹47,600-1,51,100. Online registration opens: 24st March 2026. Last date for submission: 16/09/2026. Written test date: 07.03.2026. Desired experience: 5 years of experience in relevant field.","VACANCY_COUNT:5; POST_NAME:Group-II Officer; ORGANIZATION:STPI; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-8: ₹47,600-1,51,100; START_DATE:24st March 2026; LAST_DATE:16/09/2026; EXAM_DATE:07.03.2026; EXPERIENCE:5 years of experience in relevant field",STPI,SBI PO Recruitment 2026,5
"The EPFO invites online applications from eligible candidates for direct recruitment to 10000 posts of Executive Trainee in Employees Provident Fund Organisation. Candidates should possess B.Tech/B.E. in Computer Science/IT/Electronics from recognized university. The age of the candidate should be between 19.5-25 years. Application fee is Nil. The pay scale for the post is Level-10: ₹56,100-1,77,500. Interested candidates may apply online from 6rd October 2026 to 5th July 2026. The computer based test is tentatively scheduled on 11 June 2026. Required experience: 5 years of experience in relevant field.","ORGANIZATION:EPFO; VACANCY_COUNT:10000; POST_NAME:Executive Trainee; QUALIFICATION:B.Tech/B.E. in Computer Science/IT/Electronics from recognized university; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:Nil; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:6rd October 2026; LAST_DATE:5th July 2026; EXAM_DATE:11 June 2026; EXPERIENCE:5 years of experience in relevant field",EPFO,BHEL Engineer Trainee through GATE 2026,10000
"Notification: ECIL Graduate Engineer Trainee (GET) Recruitment 2026
Issued by: Telangana State Public Service Commission
Total posts to be filled: 5
Post name: Lower Division Clerk (LDC)
Required qualification: B.E./B.Tech in any engineering discipline with valid GATE score
Age criteria: 21-35 years
Exam fee: ₹500
Pay after selection: Level-4: ₹25,500-81,100
Important dates - 
  Apply from: 23 April, 2026
  Apply till: 24-Feb-2026
  Exam on: 12.05.2027
Experience criteria: 3 years of experience in relevant field","VACANCY_COUNT:5; POST_NAME:Lower Division Clerk (LDC); QUALIFICATION:B.E./B.Tech in any engineering discipline with valid GATE score; AGE_LIMIT:21-35 years; APPLICATION_FEE:₹500; PAY_SCALE:Level-4: ₹25,500-81,100; START_DATE:23 April, 2026; LAST_DATE:24-Feb-2026; EXAM_DATE:12.05.2027; EXPERIENCE:3 years of experience in relevant field",TSPSC,ECIL Graduate Engineer Trainee (GET) Recruitment 2026,5
"The TSPSC invites online applications from eligible candidates for direct recruitment to 1 posts of Data Entry Operator in Telangana State Public Service Commission. Candidates should possess Ph.D. in relevant discipline. The age of the candidate should be between 18-35 years. Application fee is ₹1000. The pay scale for the post is Level-13: ₹1,23,100-2,15,900. Interested candidates may apply online from 28 April 2026 to 22 December, 2026. The computer based test is tentatively scheduled on 20-Dec-2026. Required experience: Freshers can apply.","ORGANIZATION:TSPSC; VACANCY_COUNT:1; POST_NAME:Data Entry Operator; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:18-35 years; APPLICATION_FEE:₹1000; PAY_SCALE:Level-13: ₹1,23,100-2,15,900; START_DATE:28 April 2026; LAST_DATE:22 December, 2026; EXAM_DATE:20-Dec-2026; EXPERIENCE:Freshers can apply",TSPSC,BHEL Engineer Trainee through GATE 2026,1
"NTA Recruitment 2025 - Staff Nurse

The National Testing Agency has announced 300 vacancies.
Eligible candidates having Post Graduate Degree in relevant subject with UGC NET can apply.
Candidates age should not exceed 18-27 years.
Pay: Pay Band-3: ₹15,600-39,100 + Grade Pay ₹5,400
Fee: ₹2000
Apply from: 8nd September 2026
Apply before: 16nd April 2027
Exam: 17 July, 2027
Experience required: 2 years of experience in relevant field","ORGANIZATION:NTA; POST_NAME:Staff Nurse; VACANCY_COUNT:300; QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:18-27 years; PAY_SCALE:Pay Band-3: ₹15,600-39,100 + Grade Pay ₹5,400; APPLICATION_FEE:₹2000; START_DATE:8nd September 2026; LAST_DATE:16nd April 2027; EXAM_DATE:17 July, 2027; EXPERIENCE:2 years of experience in relevant field",NTA,EPFO Assistant Recruitment 2026,300
"Life Insurance Corporation of India
RECRUITMENT OF GRAMIN DAK SEVAK - 2026

LIC invites applications from eligible Indian Citizens for appointment of Gramin Dak Sevak in various branches/offices across India.

Vacancies: 10000 (including backlog)
Category-wise: UR-4000, OBC-2700, SC-1500, ST-800, EWS-1000

Eligibility: Bachelor Degree in any discipline from recognized university
Age on cutoff date: 18-25 years
Fee: ₹600 + GST for General/OBC, Nil for SC/ST/PwBD
CTC: Level-10: ₹56,100-1,77,500 approximately
Online application: 24-Feb-2026 to 01.08.2026
Online exam: 15rd July 2027
Experience: 3 years of experience in relevant field","ORGANIZATION:LIC; POST_NAME:Gramin Dak Sevak; VACANCY_COUNT:10000; QUALIFICATION:Bachelor Degree in any discipline from recognized university; AGE_LIMIT:18-25 years; APPLICATION_FEE:₹600; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:24-Feb-2026; LAST_DATE:01.08.2026; EXAM_DATE:15rd July 2027; EXPERIENCE:3 years of experience in relevant field",LIC,CDAC Project Engineer Recruitment 2026,10000
"Bhabha Atomic Research Centre (BARC) has released notification for IBPS Clerk Recruitment CRP Clerks-XIV. Total number of vacancies: 2 posts for the post of Technical Officer. Educational Qualification: Diploma in Engineering (Computer/IT/Electronics/Electrical). Age Limit: 23-35 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: No fee for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: ₹44,900-₹1,42,400 (7th CPC). Application Start Date: 23 September, 2026. Last Date to Apply: 12.10.2027. Date of Examination: 20.01.2026. Experience: No experience required.","ORGANIZATION:BARC; VACANCY_COUNT:2; POST_NAME:Technical Officer; QUALIFICATION:Diploma in Engineering (Computer/IT/Electronics/Electrical); AGE_LIMIT:23-35 years; APPLICATION_FEE:No fee; PAY_SCALE:₹44,900-₹1,42,400 (7th CPC); START_DATE:23 September, 2026; LAST_DATE:12.10.2027; EXAM_DATE:20.01.2026; EXPERIENCE:No experience required",BARC,IBPS Clerk Recruitment CRP Clerks-XIV,2
"Andhra Pradesh PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 5/2024

The Andhra Pradesh Public Service Commission (APPSC) invites applications for recruitment to the post of Agniveer (Technical).

Total Vacancies: 1 posts
Educational Qualification: B.Sc. in Computer Science/IT with minimum 60% marks
Age: 20-30 years as on 01/07/2025
Fee: ₹600
Pay Scale: ₹21,700-₹69,100 (7th CPC)
Registration Start: 21 April, 2026
Last Date to Apply: 24-06-2026
Preliminary Exam Date: 18nd March 2026
Experience: 5 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:APPSC; POST_NAME:Agniveer (Technical); VACANCY_COUNT:1; QUALIFICATION:B.Sc. in Computer Science/IT with minimum 60% marks; AGE_LIMIT:20-30 years; APPLICATION_FEE:₹600; PAY_SCALE:₹21,700-₹69,100 (7th CPC); START_DATE:21 April, 2026; LAST_DATE:24-06-2026; EXAM_DATE:18nd March 2026; EXPERIENCE:5 years of experience in relevant field",APPSC,AAI Junior Executive Recruitment 2026,1
"Notification: Civil Services Examination (CSE) 2026
Issued by: Hindustan Aeronautics Limited
Total posts to be filled: 500
Post name: Junior Analyst
Required qualification: Ph.D. in relevant discipline
Age criteria: 21-35 years
Exam fee: ₹100
Pay after selection: Level-11: ₹67,700-2,08,700
Important dates - 
  Apply from: 7-Oct-2026
  Apply till: 19.01.2027
  Exam on: 10 April 2026
Experience criteria: 2 years of experience in relevant field","VACANCY_COUNT:500; POST_NAME:Junior Analyst; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:21-35 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-11: ₹67,700-2,08,700; START_DATE:7-Oct-2026; LAST_DATE:19.01.2027; EXAM_DATE:10 April 2026; EXPERIENCE:2 years of experience in relevant field",HAL,Civil Services Examination (CSE) 2026,500
"National Thermal Power Corporation (NTPC) has released notification for NIELIT Scientist B Recruitment 2026. Total number of vacancies: 500 posts for the post of Graduate Engineer Trainee (GET). Educational Qualification: M.Sc. in relevant subject with NET/SLET qualification. Age Limit: 21-32 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: No fee for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Level-1: ₹18,000-56,900. Application Start Date: 13-02-2026. Last Date to Apply: 13-02-2027. Date of Examination: 25st September 2026. Experience: 5 years of experience in relevant field.","ORGANIZATION:NTPC; VACANCY_COUNT:500; POST_NAME:Graduate Engineer Trainee (GET); QUALIFICATION:M.Sc. in relevant subject with NET/SLET qualification; AGE_LIMIT:21-32 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-1: ₹18,000-56,900; START_DATE:13-02-2026; LAST_DATE:13-02-2027; EXAM_DATE:25st September 2026; EXPERIENCE:5 years of experience in relevant field",NTPC,NIELIT Scientist B Recruitment 2026,500
